投票所名,当日有権者数 (人)_男,当日有権者数 (人)_女,当日有権者数 (人)_計,投票者数 (人)_男,投票者数 (人)_女,投票者数 (人)_計,投票率 (%)_男,投票率 (%)_女,投票率 (%)_計
虎ノ門いきいきプラザ,1245,1467,2712,287,341,628,23.05,23.24,23.16
南桜公園管理棟,684,646,1330,123,156,279,17.98,24.15,20.98
生涯学習センター,386,373,759,124,127,251,32.12,34.05,33.07
福祉プラザさくら川,1715,1799,3514,399,484,883,23.27,26.90,25.13
エコプラザ,2184,2180,4364,427,431,858,19.55,19.77,19.66
障害保健福祉センター,2023,2208,4231,450,487,937,22.24,22.06,22.15
芝小学校,2655,2986,5641,691,761,1452,26.03,25.49,25.74
港勤労福祉会館,1096,1490,2586,369,522,891,33.67,35.03,34.45
芝浦港南地区総合支所,2897,3003,5900,675,776,1451,23.30,25.84,24.59
三田中学校,709,763,1472,179,188,367,25.25,24.64,24.93
赤羽小学校,2436,3078,5514,565,692,1257,23.19,22.48,22.80
豊岡いきいきプラザ,2460,3199,5659,736,927,1663,29.92,28.98,29.39
御田小学校,1107,1413,2520,310,424,734,28.00,30.01,29.13
旧三光小学校,4414,5672,10086,1215,1459,2674,27.53,25.72,26.51
旧神応小学校,2248,2800,5048,576,683,1259,25.62,24.39,24.94
白金小学校,3250,4456,7706,832,1054,1886,25.60,23.65,24.47
高輪台小学校,3156,4279,7435,903,1245,2148,28.61,29.10,28.89
シティハイツ桂坂,1936,2412,4348,562,664,1226,29.03,27.53,28.20
国民生活センター,2065,2365,4430,439,517,956,21.26,21.86,21.58
港南小学校,3518,4084,7602,905,1074,1979,25.72,26.30,26.03
六本木中学校,1600,1627,3227,258,305,563,16.13,18.75,17.45
麻布小学校,2409,2835,5244,441,528,969,18.31,18.62,18.48
飯倉いきいきプラザ,2121,2502,4623,505,585,1090,23.81,23.38,23.58
南山小学校,2050,2450,4500,438,514,952,21.37,20.98,21.16
南麻布いきいきプラザ,4115,5131,9246,870,1106,1976,21.14,21.56,21.37
本村小学校,2060,2780,4840,474,561,1035,23.01,20.18,21.38
笄小学校,2251,2949,5200,415,557,972,18.44,18.89,18.69
西麻布いきいきプラザ,1486,1638,3124,297,380,677,19.99,23.20,21.67
高陵中学校,1318,1698,3016,231,322,553,17.53,18.96,18.34
赤坂地区総合支所,1297,1384,2681,268,326,594,20.66,23.55,22.16
赤坂子ども中高生プラザ,2679,3000,5679,459,571,1030,17.13,19.03,18.14
赤坂小学校,2320,2701,5021,488,662,1150,21.03,24.51,22.90
赤坂図書館,1063,1390,2453,308,401,709,28.97,28.85,28.90
青山小学校,1175,1614,2789,377,503,880,32.09,31.16,31.55
青南小学校,2652,3388,6040,588,760,1348,22.17,22.43,22.32
青山児童館,533,864,1397,151,265,416,28.33,30.67,29.78
お台場学園,1779,2039,3818,470,561,1031,26.42,27.51,27.00
芝浦港南区民センター,2799,2967,5766,889,949,1838,31.76,31.99,31.88
品川インターシティB棟,1033,1209,2242,261,287,548,25.27,23.74,24.44
港区芝浦アイランド児童高齢者交流プラザ,3606,3516,7122,777,776,1553,21.55,22.07,21.81
シティハイツ港南,2548,2704,5252,701,769,1470,27.51,28.44,27.99
