投票所名,有権者数_男,有権者数_女,有権者数_計,投票者数_男,投票者数_女,投票者数_計,投票率_男,投票率_女,投票率_計
虎ノ門いきいきプラザ,1295,1551,2846,711,878,1589,54.90,56.61,55.83
南桜公園管理棟,721,669,1390,348,366,714,48.27,54.71,51.37
生涯学習センター,392,390,782,225,250,475,57.40,64.10,60.74
福祉プラザさくら川,1807,1891,3698,859,1014,1873,47.54,53.62,50.65
エコプラザ,2248,2268,4516,1157,1282,2439,51.47,56.53,54.01
障害保健福祉センター,2220,2393,4613,1264,1371,2635,56.94,57.29,57.12
芝小学校,2739,3095,5834,1538,1749,3287,56.15,56.51,56.34
港勤労福祉会館,1114,1536,2650,650,946,1596,58.35,61.59,60.23
芝浦港南地区総合支所,3008,3107,6115,1536,1713,3249,51.06,55.13,53.13
三田中学校,765,809,1574,400,471,871,52.29,58.22,55.34
赤羽小学校,2554,3169,5723,1447,1841,3288,56.66,58.09,57.45
豊岡いきいきプラザ,2550,3308,5858,1578,2104,3682,61.88,63.60,62.85
御田小学校,1132,1454,2586,718,925,1643,63.43,63.62,63.53
旧三光小学校,4571,5860,10431,2719,3487,6206,59.48,59.51,59.50
旧神応小学校,2319,2879,5198,1319,1665,2984,56.88,57.83,57.41
白金小学校,3387,4622,8009,2075,2776,4851,61.26,60.06,60.57
高輪台小学校,3312,4408,7720,1976,2774,4750,59.66,62.93,61.53
シティハイツ桂坂,2008,2490,4498,1223,1547,2770,60.91,62.13,61.58
国民生活センター,2219,2457,4676,1280,1510,2790,57.68,61.46,59.67
港南小学校,3621,4189,7810,2197,2543,4740,60.67,60.71,60.69
六本木中学校,1669,1676,3345,749,891,1640,44.88,53.16,49.03
麻布小学校,2501,2927,5428,1288,1558,2846,51.50,53.23,52.43
飯倉いきいきプラザ,2224,2640,4864,1200,1475,2675,53.96,55.87,55.00
南山小学校,2120,2512,4632,1116,1340,2456,52.64,53.34,53.02
南麻布いきいきプラザ,4278,5339,9617,2206,2803,5009,51.57,52.50,52.08
本村小学校,2136,2872,5008,1170,1518,2688,54.78,52.86,53.67
笄小学校,2320,3038,5358,1275,1650,2925,54.96,54.31,54.59
西麻布いきいきプラザ,1549,1697,3246,770,933,1703,49.71,54.98,52.46
高陵中学校,1347,1753,3100,800,980,1780,59.39,55.90,57.42
赤坂地区総合支所,1343,1446,2789,718,804,1522,53.46,55.60,54.57
赤坂子ども中高生プラザ,2807,3086,5893,1404,1667,3071,50.02,54.02,52.11
赤坂小学校,2412,2777,5189,1317,1682,2999,54.60,60.57,57.80
赤坂図書館,1105,1424,2529,642,843,1485,58.10,59.20,58.72
青山小学校,1220,1661,2881,766,1008,1774,62.79,60.69,61.58
青南小学校,2752,3484,6236,1542,2043,3585,56.03,58.64,57.49
青山児童館,546,873,1419,335,536,871,61.36,61.40,61.38
お台場学園,1863,2116,3979,1154,1320,2474,61.94,62.38,62.18
芝浦港南区民センター,2890,3038,5928,1834,1991,3825,63.46,65.54,64.52
品川インターシティB棟,1054,1234,2288,678,803,1481,64.33,65.07,64.73
港区芝浦アイランド児童高齢者交,3706,3609,7315,2057,2113,4170,55.50,58.55,57.01
シティハイツ港南,2643,2762,5405,1600,1727,3327,60.54,62.53,61.55