投票所名,有権者数_男,有権者数_女,有権者数_計,投票者数_男,投票者数_女,投票者数_計,投票率_男,投票率_女,投票率_計
虎ノ門いきいきプラザ,1231,1469,2700,577,681,1258,46.87,46.36,46.59
南桜公園管理棟,743,682,1425,340,337,677,45.76,49.41,47.51
生涯学習センター,365,337,702,188,185,373,51.51,54.90,53.13
福祉プラザさくら川,1908,1948,3856,832,958,1790,43.61,49.18,46.42
エコプラザ,2571,2504,5075,1150,1243,2393,44.73,49.64,47.15
障害保健福祉センター,2565,2847,5412,1209,1382,2591,47.13,48.54,47.88
芝小学校,2955,3335,6290,1396,1602,2998,47.24,48.04,47.66
港勤労福祉会館,985,1472,2457,509,768,1277,51.68,52.17,51.97
芝浦港南地区総合支所,3238,3367,6605,1463,1639,3102,45.18,48.68,46.96
三田中学校,724,804,1528,313,404,717,43.23,50.25,46.92
赤羽小学校,2516,3251,5767,1165,1562,2727,46.30,48.05,47.29
豊岡いきいきプラザ,2809,3612,6421,1476,1948,3424,52.55,53.93,53.33
御田小学校,1144,1496,2640,616,810,1426,53.85,54.14,54.02
旧三光小学校,4361,5784,10145,2212,3022,5234,50.72,52.25,51.59
旧神応小学校,2384,3013,5397,1191,1503,2694,49.96,49.88,49.92
白金小学校,3549,4829,8378,1844,2481,4325,51.96,51.38,51.62
高輪台小学校,3370,4558,7928,1708,2418,4126,50.68,53.05,52.04
シティハイツ桂坂,2017,2547,4564,1083,1412,2495,53.69,55.44,54.67
国民生活センター,2181,2541,4722,1076,1311,2387,49.34,51.59,50.55
港南小学校,3637,4198,7835,1908,2204,4112,52.46,52.50,52.48
六本木中学校,1758,1759,3517,667,748,1415,37.94,42.52,40.23
麻布小学校,2492,2930,5422,1077,1362,2439,43.22,46.48,44.98
飯倉いきいきプラザ,2463,2856,5319,1133,1468,2601,46.00,51.40,48.90
南山小学校,2243,2527,4770,971,1133,2104,43.29,44.84,44.11
南麻布いきいきプラザ,4469,5566,10035,2020,2540,4560,45.20,45.63,45.44
本村小学校,2311,3035,5346,1071,1379,2450,46.34,45.44,45.83
笄小学校,2384,3094,5478,1088,1439,2527,45.64,46.51,46.13
西麻布いきいきプラザ,1596,1723,3319,675,819,1494,42.29,47.53,45.01
高陵中学校,1468,1903,3371,716,915,1631,48.77,48.08,48.38
赤坂地区総合支所,1503,1485,2988,685,729,1414,45.58,49.09,47.32
赤坂子ども中高生プラザ,3080,3311,6391,1307,1544,2851,42.44,46.63,44.61
赤坂小学校,2735,3067,5802,1252,1598,2850,45.78,52.10,49.12
赤坂図書館,1147,1472,2619,568,754,1322,49.52,51.22,50.48
青山小学校,1290,1710,3000,642,884,1526,49.77,51.70,50.87
青南小学校,2787,3536,6323,1381,1764,3145,49.55,49.89,49.74
赤坂子ども中高生プラザ青山館,413,573,986,200,315,515,48.43,54.97,52.23
お台場学園,1980,2191,4171,1067,1232,2299,53.89,56.23,55.12
芝浦港南区民センター,3204,3456,6660,1792,1965,3757,55.93,56.86,56.41
品川インターシティB棟,1034,1218,2252,593,728,1321,57.35,59.77,58.66
港区芝浦アイランド児童高齢者交,3779,3752,7531,1766,1812,3578,46.73,48.29,47.51
シティハイツ港南,2588,2809,5397,1413,1579,2992,54.60,56.21,55.44
